==>Arguments:
arch:deep
checkpoint:./checkpoints/
datapath:./data/
epochs:100
evaluate:False
gamma:0.1
gpu_id:0
lr:0.01
momentum:0.9
reg:0.0001
schedule:[70]
train_batchsize:64
val_batchsize:16
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.010000	2.278001	2.254062	17.083691	18.143055	
0.010000	2.258631	2.248741	18.658968	19.587431	
0.010000	2.255637	2.240216	18.825504	19.575907	
0.010000	2.239990	2.212129	20.294306	24.308542	
0.010000	2.234866	2.211053	21.169308	24.081900	
0.010000	2.232058	2.205943	21.537872	24.661955	
0.010000	2.216156	2.186718	23.433937	26.106331	
0.010000	2.195600	2.148107	25.690376	30.354948	
0.010000	2.191545	2.133269	25.927896	31.780117	
0.010000	2.186369	2.126810	26.493031	32.160416	
0.010000	2.183612	2.115380	26.637728	32.967117	
0.010000	2.180842	2.099133	26.894358	35.410263	
0.010000	2.177380	2.097589	27.307970	35.548553	
0.010000	2.174952	2.113219	27.580982	33.950523	
0.010000	2.174466	2.097796	27.669710	35.402580	
0.010000	2.173806	2.100542	27.751614	35.364166	
0.010000	2.171453	2.096194	27.986403	35.748310	
0.010000	2.171535	2.095985	27.976849	35.794407	
0.010000	2.168487	2.099486	28.294907	35.429470	
0.010000	2.167345	2.095566	28.447792	36.067146	
0.010000	2.166298	2.085698	28.593853	37.088966	
0.010000	2.163104	2.078325	28.872326	37.814995	
0.010000	2.160049	2.071674	29.224510	38.395050	
0.010000	2.160518	2.069591	29.183559	38.629379	
0.010000	2.157079	2.056936	29.496157	40.096802	
0.010000	2.154335	2.061751	29.737772	39.728027	
0.010000	2.152418	2.068683	30.084496	38.541027	
0.010000	2.149390	2.072456	30.379349	38.226028	
0.010000	2.146809	2.062908	30.610043	39.324677	
0.010000	2.146991	2.062012	30.693312	39.320835	
0.010000	2.144723	2.065956	30.979975	38.902119	
0.010000	2.143134	2.094120	31.079622	36.120926	
0.010000	2.142171	2.055510	31.201113	40.092960	
0.010000	2.141085	2.061192	31.300762	39.478333	
0.010000	2.137178	2.067269	31.820848	38.771511	
0.010000	2.137846	2.053671	31.556028	40.273510	
0.010000	2.133167	2.058123	32.125256	39.582050	
0.010000	2.132781	2.052453	32.114338	40.311924	
0.010000	2.129887	2.075111	32.461060	38.168407	
0.010000	2.129140	2.058131	32.590740	39.731869	
0.010000	2.129246	2.041719	32.560711	41.521973	
0.010000	2.128259	2.067355	32.661724	38.940533	
0.010000	2.124410	2.051279	33.038479	40.523201	
0.010000	2.126679	2.061782	32.825531	39.382298	
0.010000	2.123412	2.068999	33.147686	38.744621	
0.010000	2.125009	2.051299	32.967499	40.457897	
0.010000	2.117749	2.061540	33.703262	39.332359	
0.010000	2.120544	2.040618	33.472569	41.556545	
0.010000	2.116293	2.030281	33.931229	42.635986	
0.010000	2.115097	2.016104	34.010403	44.018898	
0.010000	2.113334	2.040629	34.227444	41.644897	
0.010000	2.118553	2.035517	33.686882	42.025200	
0.010000	2.117038	2.029818	33.856148	42.662876	
0.010000	2.115287	2.047206	34.025417	41.034111	
0.010000	2.118782	2.053674	33.774246	40.315765	
0.010000	2.112238	2.063567	34.425377	39.374615	
0.010000	2.121083	2.054157	33.572216	40.300400	
0.010000	2.120623	2.039294	33.598152	41.840809	
0.010000	2.122423	2.047399	33.467110	41.076366	
0.010000	2.121979	2.068991	33.524441	38.882912	
0.010000	2.125617	2.029164	33.209114	42.947140	
0.010000	2.131086	2.065379	32.665821	39.393822	
0.010000	2.132301	2.108975	32.604393	35.026119	
0.010000	2.139908	2.059376	31.910942	40.000767	
0.010000	2.141700	2.038532	31.743040	42.098186	
0.010000	2.155246	2.063812	30.416204	39.582050	
0.010000	2.156236	2.086178	30.352047	37.377075	
0.010000	2.169060	2.116995	29.098925	34.346188	
0.010000	2.207275	2.170990	25.327272	28.952827	
0.010000	2.233539	2.176950	22.717283	28.384296	
0.001000	2.204733	2.150687	25.612570	31.023355	
0.001000	2.179742	2.090371	28.088783	37.008297	
0.001000	2.161375	2.082447	29.922054	37.803471	
0.001000	2.154109	2.069957	30.627789	39.059620	
0.001000	2.143993	2.066395	31.644756	39.409187	
0.001000	2.137103	2.057612	32.324554	40.285034	
0.001000	2.132748	2.060125	32.743629	40.054546	
0.001000	2.127644	2.052309	33.284191	40.815151	
0.001000	2.124475	2.050074	33.577679	41.026428	
0.001000	2.117762	2.048165	34.252018	41.226181	
0.001000	2.116460	2.044010	34.366680	41.629532	
0.001000	2.113612	2.026584	34.675182	43.381222	
0.001000	2.111538	2.027121	34.844452	43.277504	
0.001000	2.112576	2.047011	34.755722	41.314533	
0.001000	2.112472	2.047027	34.744801	41.318378	
0.001000	2.109825	2.043654	35.024639	41.679470	
0.001000	2.108632	2.053600	35.137939	40.669174	
0.001000	2.110414	2.029850	34.967304	43.073910	
0.001000	2.105692	2.042348	35.442345	41.810078	
0.001000	2.105054	2.029791	35.488758	43.077751	
0.001000	2.105736	2.035046	35.427330	42.528427	
0.001000	2.105144	2.024505	35.481934	43.577133	
0.001000	2.104695	2.020957	35.552917	43.934387	
0.001000	2.103497	2.020472	35.685326	43.961277	
0.001000	2.105705	2.023783	35.428696	43.646282	
0.001000	2.105469	2.019188	35.468281	44.103409	
0.001000	2.104378	2.020612	35.565201	43.972801	
0.001000	2.105485	2.026510	35.455997	43.346649	
0.001000	2.101638	2.022823	35.840942	43.734634	
0.001000	2.103004	2.030994	35.705803	42.889519	
