==>Arguments:
arch:kernel-linear
checkpoint:./checkpoints/
datapath:./data/
epochs:100
evaluate:False
gamma:0.1
gpu_id:0
lr:0.01
momentum:0.9
reg:0.0001
schedule:[70]
train_batchsize:64
val_batchsize:16
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.001000	2.361363	2.337866	9.971743	12.323294	
0.001000	2.342172	2.315258	11.895109	14.582052	
0.001000	2.319824	2.314469	14.129707	14.666564	
0.001000	2.319708	2.314256	14.139263	14.685771	
0.001000	2.320067	2.313762	14.105136	14.739551	
0.001000	2.319329	2.318156	14.180215	14.297787	
0.001000	2.319276	2.313697	14.185675	14.747234	
0.001000	2.318567	2.313480	14.258023	14.766441	
0.001000	2.319210	2.314070	14.191135	14.704978	
0.001000	2.319231	2.313639	14.189770	14.751076	
0.001000	2.318956	2.313741	14.218436	14.739551	
0.001000	2.318526	2.314294	14.259388	14.678088	
0.001000	2.319216	2.313673	14.191135	14.747234	
0.001000	2.318550	2.314055	14.256658	14.708819	
0.001000	2.319757	2.314123	14.137897	14.697295	
0.001000	2.318571	2.313454	14.256658	14.766441	
0.001000	2.318645	2.313708	14.247103	14.739551	
0.001000	2.318739	2.313663	14.238912	14.747234	
0.001000	2.319370	2.313637	14.178849	14.751076	
0.001000	2.319060	2.313894	14.206151	14.724185	
0.001000	2.319619	2.313487	14.150184	14.762600	
0.001000	2.318816	2.313564	14.230721	14.754917	
0.001000	2.318112	2.313365	14.301704	14.774124	
0.001000	2.319216	2.313449	14.189770	14.766441	
0.001000	2.319376	2.313368	14.176120	14.777966	
0.001000	2.319354	2.313852	14.178849	14.728026	
0.001000	2.319122	2.313957	14.199326	14.720344	
0.001000	2.319316	2.314127	14.180215	14.701137	
0.001000	2.318384	2.314216	14.275768	14.689612	
0.001000	2.319182	2.314588	14.192500	14.655040	
0.001000	2.319072	2.314205	14.206151	14.693454	
0.001000	2.319046	2.314040	14.207516	14.708819	
0.001000	2.318806	2.313869	14.230721	14.728026	
0.001000	2.318992	2.313430	14.212976	14.774124	
0.001000	2.318953	2.313441	14.218436	14.770283	
0.001000	2.319220	2.313252	14.192500	14.789490	
0.001000	2.306124	2.288464	15.498859	17.267210	
0.001000	2.304641	2.288247	15.649016	17.290258	
0.001000	2.305383	2.288533	15.575303	17.259527	
0.001000	2.304927	2.288558	15.621715	17.255686	
0.001000	2.304062	2.287949	15.709079	17.320990	
0.001000	2.304157	2.287538	15.698158	17.359404	
0.001000	2.303988	2.287192	15.715904	17.393976	
0.001000	2.303875	2.287425	15.725459	17.370928	
0.001000	2.303499	2.287473	15.763680	17.367086	
0.000100	2.303718	2.287459	15.741840	17.367086	
0.000100	2.303448	2.287539	15.770506	17.359404	
0.000100	2.303216	2.287551	15.790982	17.359404	
0.000100	2.303776	2.287550	15.736380	17.359404	
0.000100	2.303539	2.287496	15.759585	17.363245	
0.000100	2.303814	2.287485	15.732285	17.367086	
0.000100	2.304039	2.287470	15.710443	17.367086	
0.000100	2.303138	2.287371	15.799172	17.378611	
0.000100	2.304179	2.287325	15.694063	17.382452	
0.000100	2.304237	2.287434	15.689968	17.370928	
0.000100	2.303596	2.287415	15.755490	17.374769	
0.000100	2.304380	2.287347	15.674953	17.378611	
0.000100	2.304042	2.287384	15.710443	17.374769	
0.000100	2.303980	2.287314	15.715904	17.382452	
0.000100	2.304154	2.287253	15.699523	17.390135	
0.000100	2.303507	2.287255	15.760951	17.390135	
0.000100	2.304671	2.287218	15.646286	17.393976	
0.000100	2.303259	2.287232	15.786887	17.393976	
0.000100	2.303819	2.287206	15.733649	17.393976	
0.000100	2.304037	2.287238	15.709079	17.386293	
0.000100	2.303712	2.287142	15.741840	17.397818	
0.000100	2.303603	2.287058	15.754126	17.409342	
0.000100	2.304510	2.286988	15.662666	17.417025	
0.000100	2.302959	2.287026	15.816918	17.413183	
0.000100	2.303603	2.287056	15.752761	17.409342	
0.000100	2.304453	2.287126	15.669492	17.401659	
0.000100	2.303778	2.287112	15.733649	17.401659	
0.000100	2.304178	2.287127	15.696794	17.401659	
0.000100	2.303957	2.287153	15.717269	17.397818	
0.000100	2.303701	2.287124	15.743205	17.401659	
0.000100	2.303839	2.287095	15.729554	17.405500	
0.000100	2.304133	2.287101	15.700889	17.405500	
0.000100	2.304158	2.287165	15.696794	17.397818	
0.000100	2.303006	2.287148	15.814188	17.401659	
0.000100	2.304187	2.287105	15.695428	17.405500	
0.000100	2.303022	2.287056	15.810093	17.409342	
0.000100	2.303369	2.287086	15.775967	17.405500	
0.000100	2.303735	2.287172	15.740475	17.397818	
0.000100	2.303514	2.287169	15.762316	17.397818	
0.000100	2.303785	2.287125	15.736380	17.401659	
0.000100	2.303275	2.287217	15.785522	17.390135	
0.000100	2.303521	2.287190	15.762316	17.390135	
0.000100	2.303351	2.287141	15.778697	17.401659	
0.000100	2.303637	2.287116	15.750031	17.401659	
0.000100	2.302987	2.287083	15.815553	17.405500	
0.000100	2.303502	2.287110	15.763680	17.405500	
0.000100	2.303123	2.287151	15.801903	17.393976	
0.000100	2.304196	2.287134	15.694063	17.401659	
0.000100	2.302754	2.287137	15.840124	17.401659	
0.000100	2.303308	2.287191	15.784157	17.393976	
0.000100	2.303182	2.287098	15.796442	17.405500	
0.000100	2.304042	2.287119	15.709079	17.401659	
0.000100	2.303824	2.287100	15.730920	17.405500	
0.000100	2.303856	2.287052	15.729554	17.409342	
0.000100	2.303144	2.287148	15.800537	17.393976	
