==>Arguments:
arch:kernel-linear
checkpoint:./checkpoints/
datapath:./data/
epochs:100
evaluate:False
gamma:0.1
gpu_id:0
lr:0.01
momentum:0.9
reg:0.0001
schedule:[70]
train_batchsize:64
val_batchsize:16
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.010000	2.334984	2.306675	12.614494	15.450214	
0.010000	2.303658	2.305821	15.747300	15.530885	
0.010000	2.302973	2.306210	15.816918	15.492471	
0.010000	2.302299	2.305156	15.885171	15.600030	
0.010000	2.302943	2.305250	15.819649	15.588506	
0.010000	2.303076	2.305916	15.807363	15.523202	
0.010000	2.302945	2.305381	15.819649	15.576982	
0.010000	2.302800	2.304861	15.834664	15.626921	
0.010000	2.302311	2.305880	15.883806	15.527043	
0.010000	2.302054	2.305878	15.909742	15.527043	
0.010000	2.303009	2.305952	15.814188	15.519361	
0.010000	2.302584	2.306030	15.856504	15.511678	
0.010000	2.302827	2.306145	15.831934	15.500154	
0.010000	2.302442	2.305957	15.870155	15.519361	
0.010000	2.302225	2.306039	15.891996	15.511678	
0.010000	2.302513	2.305302	15.863330	15.584664	
0.010000	2.302567	2.305696	15.857870	15.546250	
0.010000	2.302830	2.305786	15.831934	15.534726	
0.010000	2.302955	2.305381	15.819649	15.576982	
0.010000	2.302559	2.305328	15.859235	15.580823	
0.010000	2.302542	2.305954	15.860600	15.519361	
0.010000	2.302407	2.305905	15.874250	15.523202	
0.010000	2.302707	2.305869	15.844219	15.527043	
0.010000	2.303118	2.305779	15.803267	15.538568	
0.010000	2.302978	2.305802	15.816918	15.534726	
0.010000	2.302640	2.305834	15.851045	15.530885	
0.010000	2.303030	2.305303	15.811458	15.584664	
0.010000	2.303122	2.305304	15.801903	15.584664	
0.010000	2.302616	2.305307	15.853775	15.584664	
0.010000	2.302464	2.305304	15.868791	15.584664	
0.010000	2.302398	2.305496	15.875616	15.565457	
0.010000	2.302871	2.305496	15.827839	15.565457	
0.010000	2.302231	2.305495	15.891996	15.565457	
0.010000	2.303090	2.305537	15.805998	15.561616	
0.010000	2.302692	2.305763	15.845584	15.538568	
0.010000	2.303210	2.305916	15.793713	15.523202	
0.010000	2.302885	2.305994	15.826473	15.515519	
0.010000	2.302782	2.305879	15.836029	15.527043	
0.010000	2.302657	2.305533	15.848314	15.561616	
0.010000	2.301726	2.305496	15.942503	15.565457	
0.010000	2.302653	2.305534	15.849680	15.561616	
0.010000	2.303103	2.305534	15.804632	15.561616	
0.010000	2.302817	2.305533	15.833299	15.561616	
0.010000	2.301602	2.305534	15.954789	15.561616	
0.010000	2.302335	2.305648	15.881076	15.550092	
0.010000	2.302176	2.305571	15.897456	15.557775	
0.010000	2.303036	2.305573	15.811458	15.557775	
0.010000	2.302543	2.305573	15.860600	15.557775	
0.010000	2.302337	2.305499	15.881076	15.565457	
0.010000	2.302451	2.305573	15.870155	15.557775	
0.010000	2.302696	2.305503	15.845584	15.565457	
0.010000	2.302504	2.305534	15.864696	15.561616	
0.010000	2.301943	2.305533	15.920663	15.561616	
0.010000	2.302657	2.305572	15.849680	15.557775	
0.010000	2.302312	2.305534	15.883806	15.561616	
0.010000	2.302790	2.305534	15.836029	15.561616	
0.010000	2.302811	2.305648	15.834664	15.550092	
0.010000	2.301781	2.305265	15.937043	15.588506	
0.010000	2.302584	2.305339	15.856504	15.580823	
0.010000	2.302831	2.305340	15.831934	15.580823	
0.010000	2.302227	2.305960	15.891996	15.519361	
0.010000	2.302381	2.305957	15.876981	15.519361	
0.010000	2.302366	2.305880	15.878345	15.527043	
0.010000	2.302436	2.305879	15.871520	15.527043	
0.010000	2.302053	2.305880	15.909742	15.527043	
0.010000	2.302326	2.305917	15.882441	15.523202	
0.010000	2.302284	2.305842	15.886536	15.530885	
0.010000	2.302548	2.305533	15.860600	15.561616	
0.010000	2.302613	2.305457	15.853775	15.569299	
0.010000	2.302007	2.305742	15.913837	15.542409	
0.001000	2.302189	2.305764	15.896091	15.538568	
0.001000	2.302635	2.305759	15.851045	15.538568	
0.001000	2.302451	2.305687	15.870155	15.546250	
0.001000	2.302432	2.305727	15.871520	15.542409	
0.001000	2.303090	2.305727	15.805998	15.542409	
0.001000	2.303168	2.305726	15.797808	15.542409	
0.001000	2.301737	2.305688	15.941138	15.546250	
0.001000	2.302081	2.305651	15.907012	15.550092	
0.001000	2.302508	2.305649	15.863330	15.550092	
0.001000	2.302584	2.305649	15.856504	15.550092	
0.001000	2.302681	2.305656	15.846950	15.550092	
0.001000	2.302503	2.305651	15.864696	15.550092	
0.001000	2.302879	2.305802	15.826473	15.534726	
0.001000	2.302047	2.305726	15.909742	15.542409	
0.001000	2.302897	2.305756	15.825109	15.538568	
0.001000	2.302517	2.305756	15.863330	15.538568	
0.001000	2.302708	2.305758	15.844219	15.538568	
0.001000	2.302731	2.305742	15.841489	15.538568	
0.001000	2.302585	2.305740	15.856504	15.538568	
0.001000	2.302750	2.305712	15.840124	15.546250	
0.001000	2.301889	2.305766	15.926123	15.538568	
0.001000	2.303036	2.305766	15.811458	15.538568	
0.001000	2.302299	2.305767	15.885171	15.538568	
0.001000	2.302545	2.305766	15.860600	15.538568	
0.001000	2.302462	2.305766	15.868791	15.538568	
0.001000	2.302106	2.305691	15.904282	15.546250	
0.001000	2.302401	2.305688	15.874250	15.546250	
0.001000	2.303014	2.305727	15.812823	15.542409	
0.001000	2.302603	2.305688	15.855140	15.546250	
0.001000	2.302695	2.305654	15.845584	15.550092	
