==>Arguments:
arch:kernel-rbf
checkpoint:./checkpoints/
datapath:./data/
epochs:100
evaluate:False
gamma:0.1
gpu_id:1
lr:0.01
momentum:0.9
reg:0.0001
schedule:[70]
train_batchsize:64
val_batchsize:16
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.001000	2.374184	2.383042	8.689955	7.805778	
0.001000	2.380811	2.383267	8.027902	7.782729	
0.001000	2.380340	2.381502	8.077044	7.959435	
0.001000	2.379748	2.381628	8.134377	7.951752	
0.001000	2.379723	2.382704	8.139836	7.840350	
0.001000	2.380310	2.381511	8.082504	7.963276	
0.001000	2.379447	2.381312	8.167137	7.982483	
0.001000	2.379356	2.379208	8.176693	8.189919	
0.001000	2.378496	2.380732	8.261327	8.040104	
0.001000	2.378874	2.379739	8.224470	8.143823	
0.001000	2.378950	2.378976	8.219009	8.212969	
0.001000	2.377938	2.378592	8.320024	8.255224	
0.001000	2.377500	2.378694	8.362341	8.239859	
0.001000	2.377312	2.378088	8.382816	8.301321	
0.001000	2.378212	2.377725	8.288628	8.339736	
0.001000	2.363872	2.343697	9.723303	11.743238	
0.001000	2.350336	2.343402	11.080170	11.770129	
0.001000	2.350202	2.343173	11.095185	11.793178	
0.001000	2.339622	2.323504	12.144915	13.763829	
0.001000	2.329639	2.323556	13.148232	13.756146	
0.001000	2.329535	2.323462	13.159152	13.763829	
0.001000	2.329371	2.323313	13.174168	13.783036	
0.001000	2.329064	2.323128	13.206928	13.802243	
0.001000	2.328304	2.322745	13.283372	13.840657	
0.001000	2.328931	2.322676	13.220579	13.844499	
0.001000	2.319360	2.287873	14.176120	17.328672	
0.001000	2.304774	2.287365	15.634001	17.374769	
0.001000	2.304144	2.287050	15.698158	17.409342	
0.001000	2.303413	2.287077	15.771872	17.405500	
0.001000	2.303681	2.286693	15.745935	17.443914	
0.001000	2.302982	2.286591	15.815553	17.455439	
0.001000	2.303957	2.286514	15.715904	17.463121	
0.001000	2.302959	2.286837	15.818283	17.428549	
0.001000	2.303350	2.286562	15.778697	17.459280	
0.001000	2.303522	2.285910	15.762316	17.524586	
0.001000	2.303596	2.286224	15.754126	17.490011	
0.001000	2.302520	2.286087	15.860600	17.505377	
0.001000	2.302366	2.286116	15.875616	17.501535	
0.001000	2.302518	2.285840	15.861965	17.532269	
0.001000	2.303088	2.285941	15.803267	17.520742	
0.001000	2.303044	2.285986	15.808728	17.513060	
0.001000	2.303327	2.286386	15.781426	17.474646	
0.001000	2.303353	2.286476	15.778697	17.466963	
0.001000	2.302733	2.286427	15.841489	17.470804	
0.001000	2.303509	2.286852	15.763680	17.428549	
0.000100	2.303710	2.286852	15.743205	17.428549	
0.000100	2.302847	2.286803	15.829204	17.432390	
0.000100	2.302739	2.286743	15.838759	17.436232	
0.000100	2.302607	2.286727	15.853775	17.440073	
0.000100	2.302582	2.286695	15.855140	17.443914	
0.000100	2.302012	2.286708	15.911107	17.443914	
0.000100	2.303613	2.286698	15.754126	17.443914	
0.000100	2.303431	2.286727	15.769141	17.440073	
0.000100	2.303072	2.286737	15.807363	17.440073	
0.000100	2.303989	2.286722	15.714539	17.443914	
0.000100	2.302710	2.286701	15.842854	17.443914	
0.000100	2.302630	2.286809	15.849680	17.432390	
0.000100	2.303203	2.286815	15.792347	17.432390	
0.000100	2.302712	2.286779	15.841489	17.436232	
0.000100	2.303087	2.286773	15.807363	17.436232	
0.000100	2.303213	2.286763	15.790982	17.436232	
0.000100	2.303085	2.286747	15.803267	17.440073	
0.000100	2.303268	2.286846	15.786887	17.428549	
0.000100	2.303348	2.286850	15.778697	17.428549	
0.000100	2.303305	2.286811	15.784157	17.432390	
0.000100	2.302810	2.286824	15.833299	17.432390	
0.000100	2.302757	2.286816	15.837394	17.432390	
0.000100	2.302590	2.286816	15.855140	17.432390	
0.000100	2.302915	2.286818	15.823744	17.432390	
0.000100	2.302966	2.286837	15.818283	17.432390	
0.000100	2.302766	2.286790	15.836029	17.436232	
0.000100	2.302612	2.286801	15.852409	17.436232	
0.000100	2.303397	2.286815	15.774601	17.432390	
0.000100	2.303202	2.286834	15.793713	17.428549	
0.000100	2.303096	2.286816	15.803267	17.432390	
0.000100	2.303320	2.286818	15.782792	17.432390	
0.000100	2.303011	2.286815	15.811458	17.432390	
0.000100	2.302621	2.286813	15.852409	17.432390	
0.000100	2.303223	2.286816	15.790982	17.432390	
0.000100	2.303530	2.286819	15.762316	17.432390	
0.000100	2.303250	2.286818	15.789617	17.432390	
0.000100	2.303387	2.286843	15.774601	17.428549	
0.000100	2.302494	2.286856	15.864696	17.428549	
0.000100	2.303069	2.286846	15.807363	17.428549	
0.000100	2.303113	2.286844	15.801903	17.428549	
0.000100	2.302960	2.286740	15.816918	17.440073	
0.000100	2.302748	2.286721	15.840124	17.440073	
0.000100	2.302990	2.286691	15.815553	17.447756	
0.000100	2.302483	2.286728	15.866060	17.440073	
0.000100	2.303026	2.286680	15.810093	17.447756	
0.000100	2.303211	2.286701	15.793713	17.443914	
0.000100	2.302826	2.286660	15.830568	17.447756	
0.000100	2.302651	2.286611	15.848314	17.451597	
0.000100	2.302920	2.286589	15.822378	17.455439	
0.000100	2.303690	2.286668	15.744570	17.447756	
0.000100	2.302841	2.286668	15.830568	17.447756	
0.000100	2.303396	2.286709	15.774601	17.443914	
0.000100	2.303028	2.286732	15.811458	17.440073	
0.000100	2.303019	2.286712	15.810093	17.443914	
0.000100	2.303417	2.286725	15.771872	17.443914	
