==>Arguments:
arch:kernel-rbf
checkpoint:./checkpoints/
datapath:./data/
epochs:100
evaluate:False
gamma:0.1
gpu_id:0
lr:0.01
momentum:0.9
reg:0.0001
schedule:[70]
train_batchsize:64
val_batchsize:16
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.010000	2.344021	2.326537	11.709461	13.460356	
0.010000	2.332845	2.326834	12.828808	13.429625	
0.010000	2.333962	2.326087	12.718238	13.506454	
0.010000	2.332597	2.326047	12.854744	13.510295	
0.010000	2.332778	2.326776	12.838364	13.437307	
0.010000	2.333024	2.326662	12.812428	13.448832	
0.010000	2.332529	2.327239	12.861569	13.391211	
0.010000	2.332766	2.327122	12.838364	13.402735	
0.010000	2.333229	2.327001	12.791951	13.414259	
0.010000	2.332610	2.326853	12.853379	13.429625	
0.010000	2.334941	2.340377	12.621319	12.077443	
0.010000	2.348523	2.327432	11.263087	13.372004	
0.010000	2.335386	2.328621	12.576272	13.252919	
0.010000	2.369247	2.377521	9.190930	8.362784	
0.010000	2.361460	2.321707	9.969013	13.944376	
0.010000	2.316577	2.322129	14.457321	13.902121	
0.010000	2.316646	2.322129	14.450496	13.902121	
0.010000	2.365869	2.380097	9.528099	8.105409	
0.010000	2.374320	2.380097	8.683129	8.105409	
0.010000	2.374770	2.380097	8.638083	8.105409	
0.010000	2.373883	2.380097	8.726810	8.105409	
0.010000	2.374784	2.380097	8.636717	8.105409	
0.010000	2.374606	2.380097	8.654463	8.105409	
0.010000	2.374606	2.380097	8.654463	8.105409	
0.010000	2.374524	2.380097	8.662653	8.105409	
0.010000	2.374715	2.380097	8.643542	8.105409	
0.010000	2.374470	2.380097	8.668114	8.105409	
0.010000	2.374470	2.380097	8.668114	8.105409	
0.010000	2.374088	2.380097	8.706335	8.105409	
0.010000	2.374306	2.380173	8.684494	8.097726	
0.010000	2.374743	2.380173	8.640812	8.097726	
0.010000	2.374647	2.380173	8.650368	8.097726	
0.010000	2.374265	2.380173	8.688589	8.097726	
0.010000	2.374224	2.380173	8.692684	8.097726	
0.010000	2.374251	2.380173	8.689955	8.097726	
0.010000	2.374333	2.380173	8.681764	8.097726	
0.010000	2.374893	2.380173	8.625796	8.097726	
0.010000	2.374292	2.380173	8.685859	8.097726	
0.010000	2.374401	2.380173	8.674939	8.097726	
0.010000	2.374825	2.380173	8.632622	8.097726	
0.010000	2.374292	2.380173	8.685859	8.097726	
0.010000	2.374729	2.380173	8.642178	8.097726	
0.010000	2.374456	2.380173	8.669478	8.097726	
0.010000	2.374524	2.380173	8.662653	8.097726	
0.010000	2.374197	2.380173	8.695415	8.097726	
0.010000	2.373978	2.380173	8.717256	8.097726	
0.010000	2.374511	2.380173	8.664019	8.097726	
0.010000	2.374770	2.380173	8.638083	8.097726	
0.010000	2.374401	2.380173	8.674939	8.097726	
0.010000	2.374606	2.380173	8.654463	8.097726	
0.010000	2.374552	2.380173	8.659924	8.097726	
0.010000	2.374388	2.380173	8.676304	8.097726	
0.010000	2.374852	2.380173	8.629891	8.097726	
0.010000	2.374279	2.380173	8.687224	8.097726	
0.010000	2.374142	2.380173	8.700874	8.097726	
0.010000	2.374292	2.380173	8.685859	8.097726	
0.010000	2.374210	2.380173	8.694050	8.097726	
0.010000	2.374470	2.380173	8.668114	8.097726	
0.010000	2.374128	2.380173	8.702240	8.097726	
0.010000	2.374197	2.380173	8.695415	8.097726	
0.010000	2.374251	2.380173	8.689955	8.097726	
0.010000	2.374497	2.380173	8.665383	8.097726	
0.010000	2.374101	2.380173	8.704970	8.097726	
0.010000	2.374470	2.380173	8.668114	8.097726	
0.010000	2.374552	2.380173	8.659924	8.097726	
0.010000	2.374483	2.380173	8.666748	8.097726	
0.010000	2.374852	2.380173	8.629891	8.097726	
0.010000	2.374401	2.380173	8.674939	8.097726	
0.010000	2.374702	2.380173	8.644907	8.097726	
0.010000	2.374374	2.380173	8.677669	8.097726	
0.001000	2.374306	2.380173	8.684494	8.097726	
0.001000	2.374497	2.380173	8.665383	8.097726	
0.001000	2.374497	2.380173	8.665383	8.097726	
0.001000	2.374675	2.380173	8.647637	8.097726	
0.001000	2.374429	2.380173	8.672209	8.097726	
0.001000	2.373951	2.380173	8.719986	8.097726	
0.001000	2.374552	2.380173	8.659924	8.097726	
0.001000	2.374907	2.380173	8.624432	8.097726	
0.001000	2.374647	2.380173	8.650368	8.097726	
0.001000	2.374306	2.380173	8.684494	8.097726	
0.001000	2.374620	2.380173	8.653098	8.097726	
0.001000	2.373992	2.380173	8.715891	8.097726	
0.001000	2.374483	2.380173	8.666748	8.097726	
0.001000	2.374470	2.380173	8.668114	8.097726	
0.001000	2.374347	2.380173	8.680399	8.097726	
0.001000	2.374538	2.380173	8.661288	8.097726	
0.001000	2.375166	2.380173	8.598495	8.097726	
0.001000	2.374552	2.380173	8.659924	8.097726	
0.001000	2.373801	2.380173	8.735002	8.097726	
0.001000	2.374770	2.380212	8.638083	8.093884	
0.001000	2.374797	2.380212	8.635352	8.093884	
0.001000	2.374401	2.380212	8.674939	8.093884	
0.001000	2.374442	2.380212	8.670843	8.093884	
0.001000	2.374374	2.380212	8.677669	8.093884	
0.001000	2.374661	2.380212	8.649003	8.093884	
0.001000	2.374429	2.380212	8.672209	8.093884	
0.001000	2.374920	2.380212	8.623067	8.093884	
0.001000	2.374565	2.380212	8.658558	8.093884	
0.001000	2.374415	2.380212	8.673573	8.093884	
0.001000	2.374306	2.380212	8.684494	8.093884	
