==>Arguments:
arch:lasso
checkpoint:./checkpoints/
datapath:./data/
epochs:200
evaluate:False
gamma:0.1
gpu_id:0
lr:0.01
momentum:0.9
reg:0.0001
schedule:[70, 120, 160]
train_batchsize:64
val_batchsize:16
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.010000	2.399621	2.326702	17.121912	18.043177	
0.010000	2.300434	2.280057	18.496525	19.583590	
0.010000	2.280302	2.268634	18.926519	19.587431	
0.010000	2.274568	2.263705	18.911503	19.587431	
0.010000	2.270889	2.261219	18.921059	19.587431	
0.010000	2.267942	2.257782	18.921059	19.587431	
0.010000	2.265411	2.255258	18.921059	19.587431	
0.010000	2.263438	2.253941	18.921059	19.587431	
0.010000	2.261887	2.252926	18.921059	19.587431	
0.010000	2.260754	2.251585	18.921059	19.587431	
0.010000	2.259949	2.250469	18.921059	19.587431	
0.010000	2.259489	2.250055	18.921059	19.587431	
0.010000	2.259195	2.250898	18.921059	19.587431	
0.010000	2.258940	2.250021	18.921059	19.587431	
0.010000	2.258767	2.249352	18.921059	19.587431	
0.010000	2.258599	2.249134	18.921059	19.587431	
0.010000	2.258433	2.249192	18.921059	19.587431	
