==>Arguments:
arch:logistic
checkpoint:./checkpoints/
datapath:./data/
epochs:100
evaluate:False
gamma:0.1
gpu_id:0
lr:0.01
momentum:0.9
reg:0.0001
schedule:[70]
train_batchsize:64
val_batchsize:16
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.010000	2.265220	2.244898	18.282211	19.952366	
0.010000	2.235017	2.198845	21.210258	24.692686	
0.010000	2.202363	2.162671	25.279495	28.891363	
0.010000	2.186926	2.133244	26.669123	31.826214	
0.010000	2.175938	2.122591	27.677900	33.116932	
0.010000	2.167993	2.105794	28.423222	34.599724	
0.010000	2.163299	2.107022	28.898262	34.945450	
0.010000	2.157738	2.093171	29.623108	36.547325	
0.010000	2.151960	2.076942	30.169130	38.176090	
0.010000	2.147907	2.071476	30.611408	38.625538	
0.010000	2.143092	2.056145	31.106924	40.354179	
0.010000	2.137559	2.050090	31.767612	40.907345	
0.010000	2.135783	2.045164	31.966909	41.545021	
0.010000	2.129018	2.036497	32.628963	42.497696	
0.010000	2.120181	2.040690	33.554470	41.698677	
0.010000	2.114031	2.026725	34.156464	43.358173	
0.010000	2.110342	2.022350	34.505917	43.819145	
0.010000	2.103201	2.013219	35.236221	44.541332	
0.010000	2.099902	2.006125	35.591137	45.463276	
0.010000	2.098483	2.002606	35.731739	45.574677	
0.010000	2.092645	2.008176	36.384235	45.006145	
0.010000	2.088592	1.995043	36.722771	46.400581	
0.010000	2.085348	2.013924	37.106350	44.356945	
0.010000	2.083409	1.994239	37.137749	46.469730	
0.010000	2.083119	1.998569	37.316570	46.058697	
0.010000	2.080143	1.991684	37.585487	46.811615	
0.010000	2.078105	1.989490	37.779324	46.834663	
0.010000	2.075120	1.986142	38.085098	47.195759	
0.010000	2.076580	1.982311	37.874878	47.599110	
0.010000	2.075415	1.984837	38.001827	47.383987	
0.010000	2.072960	1.990590	38.314426	46.561924	
0.010000	2.073458	1.973478	38.252998	48.451904	
0.010000	2.070735	1.991617	38.564232	46.642593	
0.010000	2.070281	1.985314	38.621563	47.138138	
0.010000	2.068319	1.984448	38.781277	47.241856	
0.010000	2.069872	1.981255	38.609280	47.691303	
0.010000	2.070000	1.989186	38.648865	46.796249	
0.010000	2.071157	1.973309	38.467312	48.482635	
0.010000	2.067151	1.984442	38.863178	47.368622	
0.010000	2.068933	1.973191	38.726673	48.409649	
0.010000	2.070648	1.966032	38.521915	49.200981	
0.010000	2.066758	1.983340	38.870007	47.380146	
0.010000	2.067789	1.979514	38.863178	47.775814	
0.010000	2.067474	1.978442	38.803116	47.891056	
0.010000	2.069315	1.979435	38.650230	47.825752	
0.010000	2.068751	1.989424	38.822227	46.681007	
0.010000	2.064654	1.972080	39.183968	48.540257	
0.010000	2.068665	1.975307	38.786736	48.213737	
0.010000	2.065308	1.973429	39.140285	48.398125	
0.010000	2.066077	1.976231	39.040638	48.202213	
0.010000	2.066455	1.969858	38.931431	48.847572	
0.010000	2.067158	1.960491	38.904133	49.769512	
0.010000	2.065005	1.974140	39.179874	48.382759	
0.010000	2.065640	1.964328	39.058384	49.377689	
0.010000	2.065071	1.965650	39.205811	49.212505	
0.010000	2.065312	1.980169	39.137554	47.733559	
0.010000	2.065509	1.965715	39.110256	49.300861	
0.010000	2.065268	1.983082	39.145748	47.426243	
0.010000	2.065378	2.012106	39.110256	44.441456	
0.010000	2.067346	1.976626	38.908226	48.144588	
0.010000	2.064138	1.974465	39.316380	48.409649	
0.010000	2.062572	1.968725	39.466534	48.947449	
0.010000	2.062222	1.960184	39.533424	49.800243	
0.010000	2.066275	1.976156	39.054287	48.221420	
0.010000	2.064393	1.959285	39.241299	49.884758	
0.010000	2.064512	1.983020	39.269966	47.510754	
0.010000	2.065297	1.969220	39.197617	48.847572	
0.010000	2.065430	1.969751	39.183968	48.801476	
0.010000	2.062334	1.963093	39.507488	49.500614	
0.010000	2.065666	1.980897	39.188065	47.668255	
0.001000	2.053741	1.963859	40.445282	49.492931	
0.001000	2.048959	1.952673	40.886196	50.576214	
0.001000	2.048105	1.952791	40.946259	50.472496	
0.001000	2.046317	1.951614	41.112793	50.676090	
0.001000	2.047222	1.952370	41.040447	50.637676	
0.001000	2.045989	1.951496	41.186508	50.656883	
0.001000	2.046472	1.950731	41.034985	50.775967	
0.001000	2.045309	1.948518	41.174221	51.014137	
0.001000	2.044967	1.948396	41.256126	50.960354	
0.001000	2.045534	1.948119	41.164665	50.960354	
0.001000	2.043074	1.945589	41.448597	51.325291	
0.001000	2.043201	1.949289	41.385807	50.898891	
0.001000	2.044888	1.945547	41.250664	51.259987	
0.001000	2.043761	1.946448	41.321648	51.183159	
0.001000	2.043158	1.945733	41.448597	51.279194	
0.001000	2.044423	1.945104	41.273872	51.298401	
0.001000	2.042824	1.948100	41.500469	51.064075	
0.001000	2.044920	1.944953	41.197426	51.286877	
0.001000	2.042870	1.949718	41.434948	50.741394	
0.001000	2.043141	1.948527	41.381710	50.937305	
0.001000	2.043424	1.948442	41.359871	50.929623	
0.001000	2.042027	1.948501	41.531868	50.991085	
0.001000	2.042969	1.947386	41.448597	51.106331	
0.001000	2.041396	1.947144	41.589199	51.087124	
0.001000	2.042684	1.948241	41.463612	50.998768	
0.001000	2.042345	1.947987	41.473167	51.029503	
0.001000	2.044099	1.944503	41.298443	51.432850	
0.001000	2.042500	1.943725	41.475899	51.490471	
0.001000	2.039899	1.945368	41.703865	51.286877	
0.001000	2.040323	1.946014	41.679291	51.233097	
