==>Arguments:
arch:plus
checkpoint:./checkpoints/
datapath:./data/
epochs:100
evaluate:False
gamma:0.1
gpu_id:1
lr:0.01
momentum:0.9
reg:0.0001
schedule:[70]
train_batchsize:64
val_batchsize:16
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.010000	2.269653	2.247904	18.084278	19.587431	
0.010000	2.256025	2.246002	18.799568	19.587431	
0.010000	2.255071	2.246577	18.880106	19.587431	
0.010000	2.252699	2.238048	18.921059	19.587431	
0.010000	2.232326	2.186680	21.435493	26.939920	
0.010000	2.204142	2.167126	24.854961	28.561001	
0.010000	2.195813	2.162445	25.492443	28.453442	
0.010000	2.190799	2.146516	25.811867	30.059156	
0.010000	2.187434	2.135966	26.080784	31.015673	
0.010000	2.181353	2.130201	26.708710	31.745543	
0.010000	2.179126	2.129185	27.024038	31.599569	
0.010000	2.175850	2.129412	27.303875	31.265366	
0.010000	2.171825	2.115758	27.742058	32.748154	
0.010000	2.167001	2.094214	28.457348	35.586967	
0.010000	2.157614	2.091364	29.358286	36.143974	
0.010000	2.155910	2.073244	29.594440	38.018593	
0.010000	2.149491	2.082266	30.216908	37.065918	
0.010000	2.145335	2.070079	30.582743	38.468040	
0.010000	2.134454	2.047635	31.919134	40.930393	
0.010000	2.127572	2.031200	32.571632	42.612938	
0.010000	2.122758	2.019228	33.129940	43.822987	
0.010000	2.119752	2.027474	33.404316	42.943298	
0.010000	2.119668	2.038708	33.432983	41.798553	
0.010000	2.115064	2.019905	33.894371	43.665489	
0.010000	2.113285	2.014059	33.973545	44.383835	
0.010000	2.107802	2.006594	34.665627	45.059925	
0.010000	2.107783	2.024159	34.630138	43.227566	
0.010000	2.107434	2.005723	34.731152	45.056084	
0.010000	2.105957	2.004353	34.844452	45.324986	
0.010000	2.103010	2.015456	35.125652	43.911339	
0.010000	2.102397	2.010219	35.185715	44.660416	
0.010000	2.099772	2.031104	35.518787	42.432388	
0.010000	2.098276	2.007971	35.611614	44.733402	
0.010000	2.095111	2.020864	36.034782	43.604027	
0.010000	2.093574	2.007520	36.128971	45.002304	
0.010000	2.094090	2.023831	36.164463	43.281345	
0.010000	2.093285	2.002598	36.172653	45.324986	
0.010000	2.092192	2.010211	36.254555	44.664257	
0.010000	2.089986	2.010513	36.466141	44.483711	
0.010000	2.088829	2.008198	36.625851	44.860172	
0.010000	2.089929	2.025042	36.498901	43.027813	
0.010000	2.088988	1.995881	36.569881	46.135525	
0.010000	2.084597	2.001693	37.084511	45.401814	
0.010000	2.083288	2.010919	37.261967	44.449139	
0.010000	2.082686	2.018414	37.185524	43.861401	
0.010000	2.081734	1.999281	37.388916	45.616932	
0.010000	2.081796	1.989862	37.298824	46.753994	
0.010000	2.082029	1.997381	37.282444	45.751381	
0.010000	2.077108	1.972093	37.848942	48.586353	
0.010000	2.076708	1.979879	37.877609	47.795021	
0.010000	2.075834	1.973105	38.010017	48.398125	
0.010000	2.076104	1.972938	37.892624	48.448063	
0.010000	2.071301	1.964654	38.431820	49.258602	
0.010000	2.071445	1.977825	38.437283	47.979408	
0.010000	2.068500	1.963278	38.737595	49.354641	
0.010000	2.066893	1.983282	38.908226	47.257221	
0.010000	2.066484	1.973400	38.917782	48.394283	
0.010000	2.065947	1.983995	39.082954	47.311001	
0.010000	2.065190	1.976383	39.096603	48.106174	
0.010000	2.062270	1.988695	39.355965	46.746311	
0.010000	2.063047	1.972940	39.291809	48.398125	
0.010000	2.062303	1.967823	39.298634	48.985863	
0.010000	2.062892	1.946802	39.334126	51.029503	
0.010000	2.061686	1.938559	39.395554	51.886139	
0.010000	2.059486	1.971364	39.560722	48.590195	
0.010000	2.062269	1.959507	39.398281	49.819450	
0.010000	2.063748	1.966780	39.256317	49.031960	
0.010000	2.062871	1.948737	39.238571	50.845112	
0.010000	2.058352	1.940874	39.775036	51.740166	
0.010000	2.054319	1.937213	40.157253	52.120464	
0.001000	2.043665	1.924749	41.213806	53.303627	
0.001000	2.041726	1.920883	41.436314	53.783802	
0.001000	2.036432	1.920998	41.956398	53.714657	
0.001000	2.035808	1.920602	41.972778	53.822216	
0.001000	2.034463	1.913406	42.169350	54.582821	
0.001000	2.036042	1.915580	42.023289	54.290871	
0.001000	2.032780	1.918927	42.364552	53.964352	
0.001000	2.030987	1.913354	42.558388	54.452213	
0.001000	2.033846	1.914549	42.243061	54.371540	
0.001000	2.033658	1.913951	42.279919	54.425323	
0.001000	2.030592	1.913570	42.546104	54.494469	
0.001000	2.030795	1.917222	42.501057	54.183311	
0.001000	2.031340	1.908952	42.501057	54.924706	
0.001000	2.031698	1.915654	42.491501	54.233250	
0.001000	2.031022	1.911340	42.509247	54.678856	
0.001000	2.033467	1.910922	42.219856	54.644283	
0.001000	2.030461	1.908703	42.551563	54.920864	
0.001000	2.031775	1.912062	42.440994	54.678856	
0.001000	2.029241	1.913312	42.682610	54.548248	
0.001000	2.028803	1.913981	42.769974	54.375381	
0.001000	2.028473	1.914004	42.731750	54.360016	
0.001000	2.031343	1.910007	42.494232	54.951595	
0.001000	2.028378	1.918648	42.772705	53.899048	
0.001000	2.030970	1.908527	42.496964	55.093731	
0.001000	2.027258	1.908033	42.961082	55.097572	
0.001000	2.028298	1.914920	42.793179	54.398430	
0.001000	2.028082	1.913960	42.830036	54.409954	
0.001000	2.030493	1.912497	42.543373	54.667332	
0.001000	2.028239	1.911812	42.778164	54.686539	
0.001000	2.027603	1.906962	42.895557	55.101414	
0.001000	2.029399	1.905526	42.663498	55.328056	
0.001000	2.028581	1.912057	42.726292	54.655807	
0.001000	2.027635	1.912690	42.907845	54.644283	
0.001000	2.028952	1.909371	42.709911	54.859402	
0.001000	2.029158	1.912167	42.614357	54.686539	
0.001000	2.028711	1.911206	42.703087	54.767208	
0.001000	2.028237	1.913093	42.738579	54.602028	
0.001000	2.027600	1.917264	42.888733	54.091118	
0.001000	2.028411	1.909409	42.771339	54.817146	
0.001000	2.028989	1.912256	42.667595	54.559772	
0.001000	2.025879	1.916659	43.048447	54.202518	
0.001000	2.026609	1.909504	42.935146	54.813305	
0.001000	2.025210	1.909208	43.088032	54.974644	
0.001000	2.028258	1.914440	42.804100	54.352333	
0.001000	2.027981	1.913003	42.790447	54.459896	
0.001000	2.025872	1.904052	43.033428	55.520126	
0.001000	2.024864	1.901944	43.167206	55.627689	
0.001000	2.026370	1.904512	42.956985	55.381836	
0.001000	2.026498	1.908289	42.985653	55.055317	
0.001000	2.025683	1.908202	43.037525	55.074524	
0.001000	2.025329	1.909687	43.131714	54.940071	
0.001000	2.025269	1.906631	43.174030	55.243546	
0.001000	2.025754	1.906572	43.042984	55.208973	
0.001000	2.025420	1.909381	43.085300	54.924706	
0.001000	2.024859	1.909661	43.130348	54.878609	
