==>Arguments:
arch:resnet50
checkpoint:./checkpoints/
datapath:./data/
epochs:120
evaluate:False
gamma:0.1
gpu_id:0
lr:0.1
momentum:0.9
schedule:[40, 70]
train_batchsize:64
val_batchsize:16
weight_decay:0.0001
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.100000	2.458910	2.257106	18.586618	19.587431	
0.100000	2.240079	2.231022	18.860996	19.587431	
0.100000	2.240089	2.320347	18.867821	19.587431	
0.100000	2.239903	2.230331	18.858265	19.587431	
0.100000	2.240119	2.247087	18.921059	19.587431	
0.100000	2.239851	2.229243	18.859631	19.587431	
0.100000	2.239683	2.228516	18.880106	19.587431	
0.100000	2.240393	2.230626	18.837790	16.018745	
0.100000	2.240026	2.233185	18.847345	19.495235	
0.100000	2.240244	2.261090	18.886932	19.368469	
0.100000	2.239401	2.227171	18.803663	19.587431	
0.100000	2.239963	2.223977	18.893757	19.522127	
0.100000	2.239832	2.224547	18.873281	19.587431	
0.100000	2.240020	2.227493	18.867821	19.587431	
0.100000	2.239688	2.232093	18.836424	19.587431	
0.100000	2.236170	2.211384	18.901947	20.855101	
0.100000	2.230287	2.228132	19.128548	21.001076	
0.100000	2.194720	2.156267	21.780853	24.189459	
0.100000	2.095982	1.897610	26.484840	34.365395	
0.100000	1.948610	1.775479	32.092495	40.304241	
0.100000	1.850143	1.470240	36.262745	51.920712	
0.100000	1.767561	1.459935	39.574375	51.006454	
0.100000	1.684536	1.331311	42.899654	55.938843	
0.100000	1.622788	1.251298	45.086475	60.563919	
0.100000	1.570652	1.106216	47.428913	64.055779	
0.100000	1.533411	1.224727	48.612419	58.969727	
0.100000	1.487794	1.030797	50.481182	67.282578	
0.100000	1.462866	1.026844	51.053139	67.151962	
0.100000	1.411981	0.978981	52.992886	68.381218	
0.100000	1.339787	0.893239	55.590591	70.436386	
0.100000	1.259466	0.829173	58.443562	72.725876	
0.100000	1.207355	0.757425	60.282291	76.613396	
0.100000	1.177824	0.758002	61.527225	75.480179	
0.100000	1.162050	0.750019	62.081436	76.375229	
0.100000	1.153849	0.656427	62.196102	79.751839	
0.100000	1.129495	0.669743	63.192593	78.541794	
0.100000	1.115205	0.700149	63.745441	77.581436	
