==>Arguments:
arch:ridge
checkpoint:./checkpoints/
datapath:./data/
epochs:200
evaluate:False
gamma:0.1
gpu_id:0
lr:0.01
momentum:0.9
reg:0.0001
schedule:[70, 120, 160]
train_batchsize:64
val_batchsize:16
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.010000	2.284445	2.271604	17.337591	19.376152	
0.010000	2.254184	2.229730	20.703823	22.979410	
0.010000	2.234814	2.222951	22.543921	23.778425	
0.010000	2.228793	2.213532	23.193687	24.884756	
0.010000	2.224905	2.214355	23.596380	24.807928	
0.010000	2.222269	2.209996	23.812057	25.514751	
0.010000	2.220131	2.216852	23.966311	24.408421	
0.010000	2.219795	2.211608	23.967674	25.034573	
0.010000	2.217620	2.211596	24.283003	24.888597	
0.010000	2.216758	2.210092	24.266623	25.084511	
0.010000	2.217055	2.213366	24.186085	24.892439	
0.010000	2.216717	2.206376	24.317129	25.595421	
0.010000	2.214805	2.220837	24.528713	23.901352	
0.010000	2.214687	2.208317	24.564205	25.307314	
0.010000	2.213357	2.207858	24.685696	25.188229	
0.010000	2.212707	2.205002	24.702076	25.591579	
0.010000	2.214234	2.192743	24.633823	26.986017	
0.010000	2.211774	2.189804	24.871344	27.389366	
0.010000	2.209067	2.183605	25.137529	28.000153	
0.010000	2.209542	2.182490	25.122513	28.176859	
0.010000	2.210371	2.179402	25.010578	28.514904	
0.010000	2.207398	2.176053	25.462412	28.833742	
0.010000	2.208045	2.177809	25.330002	28.672403	
0.010000	2.207529	2.173772	25.405081	29.133373	
0.010000	2.206693	2.173351	25.552505	29.275507	
0.010000	2.207909	2.192898	25.354572	26.897663	
0.010000	2.207714	2.180664	25.422827	28.303625	
0.010000	2.207219	2.184409	25.414635	28.038567	
0.010000	2.205681	2.196424	25.626219	26.605715	
0.010000	2.205539	2.178180	25.658981	28.614780	
0.010000	2.206045	2.167946	25.575712	29.844038	
0.010000	2.205879	2.170939	25.611204	29.471418	
0.010000	2.206213	2.178391	25.567522	28.603256	
0.010000	2.207270	2.166714	25.452858	29.832514	
0.010000	2.204474	2.174885	25.714949	29.025814	
0.010000	2.206272	2.172258	25.607109	29.344652	
0.010000	2.205965	2.165874	25.601648	29.943914	
0.010000	2.207198	2.167605	25.455587	29.767208	
0.010000	2.204663	2.169683	25.792757	29.425322	
0.010000	2.204625	2.175622	25.744980	28.941303	
0.010000	2.205328	2.172189	25.704027	29.144897	
0.010000	2.204889	2.168297	25.650791	29.709587	
0.010000	2.207523	2.183923	25.391430	27.954056	
0.010000	2.206266	2.166234	25.562061	29.844038	
0.010000	2.204587	2.178524	25.751804	28.603256	
0.010000	2.204982	2.176055	25.690376	28.975876	
0.010000	2.205289	2.168082	25.699932	29.563614	
0.010000	2.203880	2.175145	25.785931	29.048862	
0.010000	2.205620	2.169690	25.648060	29.383066	
0.010000	2.205620	2.174418	25.650791	28.987400	
0.010000	2.205355	2.171784	25.689013	29.317762	
0.010000	2.206311	2.169614	25.557966	29.525200	
0.010000	2.204456	2.181594	25.710854	28.184542	
0.010000	2.203218	2.168479	25.896502	29.621235	
0.010000	2.204545	2.175115	25.832342	28.941303	
0.010000	2.205090	2.178998	25.672632	28.526428	
0.010000	2.204486	2.173826	25.753170	29.087276	
0.010000	2.204449	2.168340	25.750439	29.586662	
0.010000	2.204894	2.168327	25.806408	29.678856	
0.010000	2.205067	2.173151	25.652155	29.102642	
0.010000	2.201799	2.184072	26.082148	27.954056	
0.010000	2.205925	2.180386	25.603014	28.365089	
0.010000	2.205606	2.179216	25.592093	28.330515	
0.010000	2.204144	2.172974	25.765455	29.060387	
0.010000	2.203520	2.172176	25.810503	29.248617	
0.010000	2.203683	2.180099	25.813232	28.534111	
0.010000	2.204202	2.180350	25.790026	28.276735	
0.010000	2.204376	2.178483	25.704027	28.607098	
0.010000	2.204489	2.175330	25.759995	28.937462	
0.010000	2.203883	2.178803	25.836439	28.545635	
0.001000	2.203358	2.169925	25.784567	29.544407	
0.001000	2.202419	2.171303	25.906055	29.398432	
0.001000	2.202285	2.172995	25.903326	29.302397	
0.001000	2.201578	2.170888	26.060308	29.479101	
0.001000	2.201623	2.172012	26.022085	29.379225	
0.001000	2.202708	2.171903	25.923801	29.360018	
0.001000	2.201761	2.174129	26.041197	29.102642	
0.001000	2.201173	2.174197	26.067133	29.179470	
0.001000	2.201914	2.174201	25.947008	29.179470	
0.001000	2.200011	2.175483	26.169512	29.033497	
0.001000	2.201153	2.171923	25.964754	29.390749	
0.001000	2.202036	2.173606	25.959293	29.171787	
0.001000	2.201364	2.171147	26.067133	29.471418	
0.001000	2.202036	2.172580	25.982500	29.267824	
0.001000	2.202368	2.172460	25.966118	29.340811	
0.001000	2.202546	2.172888	25.899231	29.302397	
0.001000	2.200052	2.172784	26.266432	29.333128	
0.001000	2.201763	2.170013	26.004341	29.582821	
0.001000	2.201185	2.170432	26.050753	29.544407	
0.001000	2.200236	2.172243	26.146307	29.413797	
0.001000	2.202810	2.171385	25.901960	29.287031	
0.001000	2.203087	2.173827	25.840534	29.187153	
0.001000	2.200741	2.170395	26.121735	29.590504	
0.001000	2.200834	2.171004	26.076689	29.498310	
0.001000	2.200541	2.169234	26.090340	29.636600	
0.001000	2.200916	2.169529	26.102625	29.594345	
0.001000	2.200281	2.168805	26.170877	29.678856	
0.001000	2.200171	2.170060	26.134020	29.682697	
0.001000	2.200946	2.168250	26.120371	29.678856	
0.001000	2.200897	2.172893	26.084879	29.198677	
0.001000	2.200877	2.170870	26.084879	29.375383	
0.001000	2.199421	2.171619	26.299192	29.333128	
0.001000	2.201626	2.168803	26.020721	29.621235	
0.001000	2.202697	2.168554	25.829613	29.578979	
0.001000	2.201777	2.175422	25.985229	28.910570	
0.001000	2.200210	2.167923	26.168148	29.732635	
0.001000	2.199619	2.169809	26.196814	29.571297	
0.001000	2.202278	2.167569	25.960659	29.740318	
0.001000	2.201137	2.171784	26.045292	29.321604	
0.001000	2.200335	2.169179	26.162687	29.667332	
0.001000	2.199908	2.171482	26.161322	29.356176	
0.001000	2.200145	2.169226	26.136751	29.698063	
0.001000	2.200319	2.171240	26.153131	29.517517	
0.001000	2.200938	2.168217	26.124466	29.682697	
0.001000	2.201372	2.169250	26.031641	29.625076	
0.001000	2.201416	2.170135	26.053482	29.521358	
0.001000	2.200083	2.171268	26.155861	29.448370	
0.001000	2.199660	2.170270	26.263700	29.448370	
0.001000	2.202372	2.172597	25.938818	29.179470	
0.001000	2.201308	2.171975	26.028912	29.225569	
0.000100	2.199516	2.170278	26.188623	29.429163	
0.000100	2.199577	2.171152	26.181797	29.379225	
0.000100	2.202584	2.171056	25.937452	29.390749	
0.000100	2.200238	2.170705	26.150402	29.494469	
0.000100	2.201327	2.170614	26.037102	29.456053	
0.000100	2.200880	2.170586	26.078053	29.536724	
0.000100	2.201282	2.170000	26.035736	29.517517	
0.000100	2.201096	2.168878	26.075323	29.724953	
0.000100	2.198847	2.170674	26.252781	29.456053	
0.000100	2.199889	2.170782	26.192719	29.440687	
0.000100	2.201449	2.170420	25.982500	29.440687	
0.000100	2.201761	2.169359	25.953833	29.632759	
0.000100	2.201872	2.169741	25.915611	29.544407	
0.000100	2.200691	2.170369	26.129925	29.486784	
0.000100	2.200359	2.169455	26.119005	29.590504	
0.000100	2.200884	2.169426	26.041197	29.609711	
0.000100	2.200676	2.170009	26.068499	29.536724	
0.000100	2.199956	2.169462	26.226845	29.621235	
0.000100	2.200586	2.171358	26.087608	29.379225	
0.000100	2.199721	2.171552	26.177702	29.360018	
0.000100	2.200001	2.170399	26.199543	29.532883	
0.000100	2.200163	2.169831	26.140846	29.540565	
0.000100	2.200741	2.169200	26.056213	29.621235	
0.000100	2.201315	2.170039	26.001610	29.548248	
0.000100	2.200855	2.169760	26.013895	29.651966	
0.000100	2.200126	2.169155	26.095798	29.686539	
0.000100	2.199656	2.170259	26.217289	29.559772	
0.000100	2.201567	2.170872	25.996149	29.436846	
0.000100	2.201302	2.170002	26.042562	29.586662	
0.000100	2.200528	2.170869	26.112181	29.444529	
