==>Arguments:
arch:wide-spec
checkpoint:./checkpoints/
datapath:./data/
epochs:100
evaluate:False
gamma:0.1
gpu_id:0
lr:0.01
momentum:0.9
reg:0.0001
schedule:[70]
train_batchsize:64
val_batchsize:16
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.010000	2.257693	2.215371	19.226831	22.664413	
0.010000	2.215913	2.172672	23.833899	28.276735	
0.010000	2.193776	2.166072	26.271891	28.687769	
0.010000	2.179603	2.130113	27.432190	32.771206	
0.010000	2.168282	2.117300	28.551537	33.873692	
0.010000	2.160242	2.121977	29.318699	33.458820	
0.010000	2.153269	2.110427	30.129543	34.691917	
0.010000	2.147292	2.080758	30.859848	37.934082	
0.010000	2.141497	2.081682	31.389490	38.014751	
0.010000	2.136650	2.074466	31.872721	38.721573	
0.010000	2.133009	2.065613	32.343666	39.570526	
0.010000	2.129171	2.068608	32.686295	39.320835	
0.010000	2.124483	2.062151	33.075336	39.970036	
0.010000	2.122838	2.056166	33.217304	40.492470	
0.010000	2.118549	2.075950	33.768787	38.241394	
0.010000	2.112507	2.038399	34.417187	42.624462	
0.010000	2.105276	2.040494	35.299015	42.217270	
0.010000	2.101886	2.020398	35.509235	44.053471	
0.010000	2.097545	2.031410	35.955608	42.901043	
0.010000	2.097038	2.027165	35.911926	43.185310	
0.010000	2.094208	2.009584	36.206779	45.351875	
0.010000	2.091118	2.014416	36.494804	44.787186	
0.010000	2.089347	2.011679	36.743244	44.917793	
0.010000	2.087294	2.023403	37.020351	43.611710	
0.010000	2.086874	2.021280	37.017624	43.688538	
0.010000	2.086479	2.017447	37.017624	44.287800	
0.010000	2.085831	2.007054	37.028542	45.236629	
0.010000	2.082237	2.014195	37.342506	44.579746	
0.010000	2.081924	2.011472	37.372536	44.629684	
0.010000	2.081634	2.013114	37.500851	44.529808	
0.010000	2.081313	2.001254	37.463997	45.586201	
0.010000	2.080375	2.006921	37.554089	45.071449	
0.010000	2.078426	2.017104	37.762943	44.026581	
0.010000	2.077457	1.991131	37.847576	46.888443	
0.010000	2.076558	2.015739	37.990910	44.218655	
0.010000	2.078887	1.999861	37.717896	45.939613	
0.010000	2.077275	2.002270	37.911736	45.551628	
0.010000	2.075171	2.012361	38.046875	44.406883	
0.010000	2.077668	1.996483	37.801167	46.173939	
0.010000	2.077445	1.995589	37.877609	46.269974	
0.010000	2.076032	1.995907	38.022305	46.085587	
0.010000	2.076532	2.013655	37.929482	44.487553	
0.010000	2.072885	1.989103	38.244808	46.915333	
0.010000	2.071938	1.993742	38.369030	46.400581	
0.010000	2.071420	1.993784	38.434551	46.419788	
0.010000	2.072272	1.989039	38.322617	46.961430	
0.010000	2.071077	1.992966	38.470043	46.634911	
0.010000	2.068137	1.975734	38.815403	48.352028	
0.010000	2.063727	1.972740	39.265873	48.682388	
0.010000	2.063278	1.968696	39.349140	49.012753	
0.010000	2.062317	1.967702	39.387360	49.124153	
0.010000	2.058716	1.958027	39.776402	50.288105	
0.010000	2.060169	1.955548	39.689037	50.460972	
0.010000	2.057829	1.967941	39.836464	49.200981	
0.010000	2.059060	1.958303	39.750465	50.226643	
0.010000	2.054692	1.950139	40.084908	50.956512	
0.010000	2.053554	1.945275	40.260998	51.494312	
0.010000	2.049034	1.939015	40.792004	52.185772	
0.010000	2.050243	1.940088	40.766068	52.020588	
0.010000	2.047974	1.942573	40.899845	51.805470	
0.010000	2.046692	1.937789	41.024063	52.297173	
0.010000	2.047705	1.948728	40.959908	51.056393	
0.010000	2.044869	1.932697	41.239742	52.738937	
0.010000	2.044558	1.950891	41.267044	50.902733	
0.010000	2.043009	1.957185	41.355774	50.218960	
0.010000	2.043109	1.947165	41.424026	51.106331	
0.010000	2.042377	1.936519	41.441772	52.366318	
0.010000	2.041372	1.942003	41.602848	51.728642	
0.010000	2.042553	1.959895	41.493645	49.903965	
0.010000	2.042199	1.945047	41.448597	51.394436	
0.001000	2.033255	1.920305	42.438263	53.991241	
0.001000	2.027953	1.923816	42.935146	53.787643	
0.001000	2.028237	1.921410	42.901020	54.025814	
0.001000	2.025479	1.918845	43.285965	54.221725	
0.001000	2.026108	1.919133	43.160381	54.171787	
0.001000	2.023709	1.917157	43.423836	54.448372	
0.001000	2.025420	1.916296	43.216347	54.540565	
0.001000	2.024446	1.915838	43.393803	54.640442	
0.001000	2.025655	1.914579	43.264126	54.736477	
0.001000	2.024791	1.918618	43.310535	54.202518	
0.001000	2.026185	1.917621	43.153553	54.287029	
0.001000	2.024694	1.915901	43.376060	54.571297	
0.001000	2.024930	1.914980	43.280506	54.571297	
0.001000	2.025440	1.913573	43.214981	54.817146	
0.001000	2.023235	1.918457	43.477074	54.352333	
0.001000	2.023804	1.917283	43.407455	54.363857	
0.001000	2.022637	1.916087	43.436123	54.517517	
0.001000	2.024405	1.913134	43.400631	54.851719	
0.001000	2.022627	1.913456	43.604023	54.809464	
0.001000	2.020682	1.913860	43.816971	54.755684	
0.001000	2.022368	1.916847	43.620403	54.505993	
0.001000	2.025170	1.911175	43.247742	55.036110	
0.001000	2.024804	1.912705	43.341930	54.951595	
0.001000	2.023124	1.911494	43.546692	55.047634	
0.001000	2.021016	1.912600	43.715958	54.867085	
0.001000	2.022631	1.911629	43.541229	54.936230	
0.001000	2.022040	1.912057	43.561707	54.905499	
0.001000	2.023563	1.912298	43.437485	54.940071	
0.001000	2.022158	1.910483	43.524849	55.093731	
0.001000	2.019512	1.913271	43.864750	54.721111	
