==>Arguments:
arch:wide
checkpoint:./checkpoints/
datapath:./data/
epochs:100
evaluate:False
gamma:0.1
gpu_id:0
lr:0.01
momentum:0.9
reg:0.0001
schedule:[70]
train_batchsize:64
val_batchsize:16
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.010000	2.247742	2.195396	20.455383	26.317608	
0.010000	2.204132	2.162020	25.209877	29.244776	
0.010000	2.187164	2.132836	26.755121	32.417793	
0.010000	2.173205	2.117521	28.127005	34.181007	
0.010000	2.164191	2.108379	28.977434	35.122158	
0.010000	2.156173	2.101272	29.931610	35.925014	
0.010000	2.150796	2.094284	30.524044	36.520435	
0.010000	2.145983	2.093270	30.944483	36.835434	
0.010000	2.141089	2.090147	31.452284	36.804703	
0.010000	2.138499	2.068256	31.693899	39.244007	
0.010000	2.134580	2.070422	32.055637	38.975105	
0.010000	2.127091	2.058742	33.002987	40.434849	
0.010000	2.123515	2.050588	33.276001	41.337585	
0.010000	2.114940	2.045479	34.228809	41.844650	
0.010000	2.110574	2.038937	34.717499	42.205746	
0.010000	2.108143	2.058856	34.877213	40.069912	
0.010000	2.105420	2.033740	35.177525	42.728180	
0.010000	2.104549	2.046130	35.270348	41.491241	
0.010000	2.101597	2.029139	35.458725	43.073910	
0.010000	2.100545	2.031904	35.569298	42.774277	
0.010000	2.097661	2.027772	35.929672	43.173786	
0.010000	2.092383	2.020395	36.455219	44.153347	
0.010000	2.093396	2.034337	36.386967	42.424706	
0.010000	2.088840	2.021265	36.795116	44.045788	
0.010000	2.090099	2.020843	36.649055	43.938229	
0.010000	2.086642	2.020807	37.009430	43.915180	
0.010000	2.087477	2.020458	36.886578	44.064995	
0.010000	2.085448	2.008057	37.155495	45.317303	
0.010000	2.086725	2.014473	36.941177	44.560539	
0.010000	2.085170	2.013430	37.091335	44.618160	
0.010000	2.082478	2.009141	37.358887	45.098339	
0.010000	2.081075	2.006726	37.530884	45.298092	
0.010000	2.080961	2.010461	37.480377	44.906269	
0.010000	2.080374	1.996198	37.556820	46.419788	
0.010000	2.080085	2.009727	37.595039	44.702671	
0.010000	2.078480	2.012245	37.734276	44.737247	
0.010000	2.078395	2.007586	37.698784	45.190533	
0.010000	2.078531	2.001757	37.791611	45.858940	
0.010000	2.076967	2.005924	37.933575	45.355717	
0.010000	2.076260	1.999830	37.958145	46.100952	
0.010000	2.075579	2.008326	38.060524	45.036877	
0.010000	2.074822	1.997211	38.143795	46.143208	
0.010000	2.076772	1.995327	37.926750	46.239243	
0.010000	2.073842	2.006806	38.229794	45.202057	
0.010000	2.074537	2.010855	38.167000	44.721878	
0.010000	2.074887	2.012188	38.102844	44.652733	
0.010000	2.073376	2.003321	38.285759	45.474800	
0.010000	2.073141	1.996810	38.340363	46.177780	
0.010000	2.072690	2.013642	38.388138	44.445297	
0.010000	2.073132	1.994399	38.284393	46.431313	
0.010000	2.074073	1.998103	38.194302	46.131683	
0.010000	2.073371	2.000256	38.268013	45.874306	
0.010000	2.073626	2.000711	38.233887	45.801319	
0.010000	2.072794	2.008542	38.304871	44.929317	
0.010000	2.072297	1.991967	38.352650	46.615704	
0.010000	2.072855	1.998478	38.306236	46.062538	
0.010000	2.071371	2.007702	38.504169	44.967731	
0.010000	2.071277	2.014258	38.483692	44.441456	
0.010000	2.069775	2.010767	38.667976	44.633526	
0.010000	2.070462	1.987021	38.609280	47.214966	
0.010000	2.070081	1.989970	38.602455	46.861553	
0.010000	2.070235	2.003037	38.606548	45.578518	
0.010000	2.070167	2.005336	38.594265	45.182850	
0.010000	2.071261	1.997071	38.448200	46.066380	
0.010000	2.071510	1.998706	38.474136	45.935772	
0.010000	2.069182	1.993784	38.715752	46.419788	
0.010000	2.068853	1.997064	38.766262	46.100952	
0.010000	2.069968	1.992374	38.639309	46.561924	
0.010000	2.069114	1.995294	38.682991	46.350643	
0.010000	2.069235	1.990268	38.692547	46.811615	
0.001000	2.059967	1.983382	39.654911	47.599110	
0.001000	2.056940	1.981526	39.975700	47.771973	
0.001000	2.058437	1.982561	39.855576	47.645206	
0.001000	2.055563	1.982452	40.207760	47.633682	
0.001000	2.055881	1.981660	40.019382	47.756607	
0.001000	2.058243	1.980587	39.858307	47.914104	
0.001000	2.057357	1.981013	39.948399	47.791180	
0.001000	2.054945	1.980104	40.195477	47.952518	
0.001000	2.055793	1.982507	40.082176	47.610634	
0.001000	2.055400	1.980325	40.104015	47.852642	
0.001000	2.055857	1.980176	40.026207	47.887215	
0.001000	2.055984	1.979831	40.116302	47.894897	
0.001000	2.055141	1.980313	40.195477	47.983250	
0.001000	2.054131	1.982442	40.226871	47.695145	
0.001000	2.054003	1.981426	40.326519	47.802704	
0.001000	2.055159	1.981647	40.187286	47.802704	
0.001000	2.055234	1.981369	40.161350	47.798862	
0.001000	2.054883	1.980688	40.222778	47.795021	
0.001000	2.056811	1.979412	39.921101	47.990932	
0.001000	2.053658	1.980322	40.333347	47.910263	
0.001000	2.055594	1.977198	40.120396	48.159958	
0.001000	2.055973	1.978854	40.071255	48.125381	
0.001000	2.053018	1.981669	40.404327	47.871849	
0.001000	2.054080	1.978513	40.297855	48.148430	
0.001000	2.054810	1.976248	40.236427	48.282883	
0.001000	2.053648	1.979983	40.254173	47.960201	
0.001000	2.052975	1.981523	40.432995	47.779655	
0.001000	2.053667	1.979352	40.327885	48.044712	
0.001000	2.055155	1.977326	40.187286	48.221420	
0.001000	2.053632	1.978699	40.259632	48.029346	
